Admit,Deposit,Enroll,F,Ethnicity,Region Description,Age,ACT Category Description,College,Major,Convert_GPA_Fix,FIN_AID_INTEREST
FALSE,FALSE,FALSE,F,White,Out of State,17,24-27,Theatre,Acting,3.927,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Chicago Far North,18,24-27,Science and Health,UGRD Undeclared CSH,4.619,Y
TRUE,FALSE,FALSE,F,International,Chicago Central,19,24-27,Science and Health,Psychology,3.904,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Commerce,UGRD Undeclared Business,3.636,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban Southwest,18,16-19,Science and Health,Psychology,4.221,Y
FALSE,FALSE,FALSE,F,Hispanic,Out of State,18,Unknown,Music,Music Performance,3.663,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban Southwest,17,24-27,Commerce,Marketing,3.395,Y
TRUE,FALSE,FALSE,F,International,International,19,Unknown,Commerce,Finance,3.37,N
FALSE,FALSE,FALSE,F,White,Out of State,18,33-36,Music,Music Performance,4.046,Y
FALSE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban South,22,Unknown,Computer Science,Information Technology,,Y
FALSE,FALSE,FALSE,F,White,Chicago North,20,Unknown,Commerce,Business Administration,2.53,N
TRUE,TRUE,FALSE,F,International,International,19,20-23,Science and Health,Biological Sciences,2.595,N
TRUE,TRUE,TRUE,F,White,Out of State,19,24-27,Theatre,Acting,3.243,Y
TRUE,TRUE,TRUE,F,White,Out of State,24,28-32,Communication,UGRD Undeclared Communication,3.718,Y
TRUE,TRUE,TRUE,F,White,Chicago South,19,24-27,Commerce,Management,3.952,Y
TRUE,TRUE,TRUE,F,White,Out of State,19,28-32,Science and Health,Health Sciences,3.762,Y
TRUE,TRUE,TRUE,F,White,Chicago North,17,28-32,Education,Pre-Secondary Education Histor,3.922,Y
TRUE,TRUE,TRUE,F,White,Out of State,19,Unknown,Liberal Arts & Social Sciences,Spanish,3.492,Y
TRUE,TRUE,FALSE,F,Black,Chicago South,19,28-32,Liberal Arts & Social Sciences,Political Science,3.9,Y
TRUE,FALSE,FALSE,F,Not Applicable,Out of State,19,33-36,Music,Music Performance,4.275,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,Unknown,Theatre,Acting,3.753,Y
TRUE,TRUE,FALSE,F,Hispanic,Chicago South,19,24-27,Liberal Arts & Social Sciences,History,4.534,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Central,19,20-23,Theatre,Acting,3.41,Y
FALSE,FALSE,FALSE,F,Not Applicable,Unknown,20,Unknown,Commerce,Accountancy,3.75,N
TRUE,FALSE,FALSE,F,Hispanic,Suburban South,18,28-32,Commerce,UGRD Undeclared Business,2.805,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,20-23,Music,Music Performance,3.136,Y
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,24-27,Science and Health,Environmental Science,3.893,Y
TRUE,FALSE,FALSE,F,White,Out of State,19,20-23,Communication,Journalism,2.586,N
FALSE,FALSE,FALSE,F,White,Suburban Northwest,18,28-32,Music,Music Education,,Y
TRUE,TRUE,TRUE,F,White,Chicago North,18,28-32,Science and Health,UGRD Undeclared CSH,4.32,N
TRUE,TRUE,TRUE,F,White,Suburban Southwest,20,28-32,Communication,Journalism,4.056,Y
TRUE,TRUE,FALSE,F,White,Out of State,19,28-32,Liberal Arts & Social Sciences,English,2.261,N
TRUE,FALSE,FALSE,F,Black,Suburban Northwest,19,20-23,Liberal Arts & Social Sciences,English,3.448,N
TRUE,TRUE,TRUE,F,White,Out of State,19,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.571,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban West,19,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.783,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago Central,19,16-19,Liberal Arts & Social Sciences,Sociology,3.672,Y
FALSE,FALSE,FALSE,F,White,Chicago Far North,19,20-23,Education,Elementary Education,,Y
TRUE,FALSE,FALSE,F,White,Out of State,19,28-32,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.844,Y
TRUE,FALSE,FALSE,F,White,Other Illinois,18,24-27,Commerce,Business Administration,3.592,Y
TRUE,TRUE,TRUE,F,White,Suburban Northwest,18,28-32,Science and Health,Psychology,4.46,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,24-27,Liberal Arts & Social Sciences,English,3.88,Y
FALSE,FALSE,FALSE,F,White,Out of State,19,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.488,Y
TRUE,TRUE,TRUE,F,White,Suburban North,18,28-32,Science and Health,Biological Sciences,4.13,N
TRUE,FALSE,FALSE,F,White,Suburban West,18,28-32,Commerce,Economics,3.528,Y
TRUE,TRUE,TRUE,F,Hispanic,Out of State,19,Unknown,Education,Elementary Education,3.5,N
TRUE,FALSE,FALSE,F,White,Out of State,19,28-32,Liberal Arts & Social Sciences,Spanish,4.438,Y
FALSE,FALSE,FALSE,F,Multiracial,Out of State,19,20-23,Theatre,Acting,4.056,Y
TRUE,FALSE,FALSE,F,White,Out of State,19,24-27,Communication,Public Relations/Advertisin,3.334,Y
FALSE,FALSE,FALSE,F,White,Suburban Southwest,19,20-23,Commerce,UGRD Undeclared Business,3.142,N
TRUE,TRUE,TRUE,F,White,Suburban Southwest,18,20-23,Commerce,Finance,2.767,Y
TRUE,TRUE,TRUE,F,White,Suburban Northwest,18,28-32,Commerce,Accountancy,4.707,Y
FALSE,FALSE,FALSE,F,Multiracial,Suburban West,19,28-32,Music,Sound Recording Techn,4.047,Y
FALSE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban West,18,16-19,Liberal Arts & Social Sciences,Political Science,0,N
TRUE,TRUE,TRUE,F,Asian/Pacific Islander,Suburban Southwest,18,24-27,Computer Science,Animation,3.711,Y
TRUE,TRUE,TRUE,F,White,Out of State,19,24-27,Education,Elementary Education,3.688,Y
TRUE,TRUE,TRUE,F,White,Suburban North,18,24-27,Science and Health,Biological Sciences,3.68,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far North,18,16-19,Computer Science,Information Systems,2.75,N
TRUE,FALSE,FALSE,F,White,Out of State,19,28-32,Commerce,UGRD Undeclared TBD,3.987,Y
TRUE,TRUE,TRUE,F,White,Out of State,18,28-32,Communication,Media and Cinema Studies,3.804,Y
FALSE,FALSE,FALSE,F,Not Applicable,Out of State,18,Unknown,Theatre,Acting,2.75,Y
TRUE,FALSE,FALSE,F,White,Out of State,17,24-27,Science and Health,Psychology,3.975,Y
TRUE,TRUE,TRUE,F,White,Out of State,18,Unknown,Computer Science,Digital Cinema,3.757,Y
TRUE,TRUE,FALSE,F,White,Suburban West,19,28-32,Liberal Arts & Social Sciences,Philosophy,3.949,Y
FALSE,FALSE,FALSE,F,Multiracial,Out of State,18,20-23,Music,Music,3.763,Y
TRUE,TRUE,TRUE,F,Asian/Pacific Islander,Suburban West,18,20-23,Commerce,UGRD Undeclared Business,2.933,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban North,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.715,Y
TRUE,TRUE,TRUE,F,International,Chicago Far North,20,Unknown,Computer Science,Computer Science,4,N
TRUE,TRUE,FALSE,F,Not Applicable,Chicago North,19,20-23,Liberal Arts & Social Sciences,International Studies,3.977,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,24-27,Theatre,Acting,3.022,Y
FALSE,FALSE,FALSE,F,Hispanic,Out of State,18,Unknown,Commerce,Business Administration,,N
TRUE,FALSE,FALSE,F,White,Out of State,19,28-32,Commerce,Marketing,3.39,N
FALSE,FALSE,FALSE,F,Black,Chicago South,19,16-19,Communication,Journalism,3.904,Y
TRUE,TRUE,TRUE,F,Asian/Pacific Islander,Suburban Northwest,18,28-32,Commerce,UGRD Undeclared Business,3.774,Y
FALSE,FALSE,FALSE,F,Black,Suburban South,18,20-23,Science and Health,Health Sciences,1.854,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,28-32,Music,Music Performance,4.042,Y
FALSE,FALSE,FALSE,F,Asian/Pacific Islander,Chicago Far North,19,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.95,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,20,Unknown,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.071,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Far North,19,16-19,Education,Pre-Secondary Education Englis,3.07,Y
TRUE,FALSE,FALSE,F,Hispanic,Out of State,18,24-27,Science and Health,Chemistry,3.09,Y
TRUE,TRUE,FALSE,F,White,Out of State,19,Unknown,Science and Health,Biological Sciences,3.232,Y
TRUE,FALSE,FALSE,F,White,Out of State,19,28-32,Liberal Arts & Social Sciences,Public Policy,4.21,Y
TRUE,FALSE,FALSE,F,Black,Suburban North,18,24-27,Commerce,Business Administration,3.986,Y
TRUE,FALSE,FALSE,F,White,Out of State,19,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.617,Y
TRUE,TRUE,TRUE,F,White,Chicago Far North,18,28-32,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.408,Y
FALSE,FALSE,FALSE,F,Black,Out of State,18,20-23,Computer Science,Information Technology,2.571,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,28-32,Commerce,Marketing,4.07,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,24-27,Science and Health,Biological Sciences,3.937,Y
TRUE,TRUE,TRUE,F,Asian/Pacific Islander,Suburban North,18,24-27,Commerce,Accountancy,4.1,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,20-23,Communication,Public Relations/Advertisin,3.775,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban Northwest,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.023,Y
TRUE,TRUE,TRUE,F,Hispanic,Suburban Northwest,18,24-27,Commerce,Accountancy,2.793,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,28-32,Commerce,Finance,4,Y
FALSE,FALSE,FALSE,F,White,Suburban West,17,20-23,Science and Health,Chemistry,3.817,Y
TRUE,TRUE,TRUE,F,White,Suburban Northwest,19,28-32,Commerce,Business Administration,3.68,N
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Chicago South,18,24-27,Commerce,Business Administration,3.868,Y
TRUE,TRUE,TRUE,F,White,Suburban North,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.27,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban Northwest,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.948,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban West,18,24-27,Commerce,Finance,3.769,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,24-27,Liberal Arts & Social Sciences,Art & Art History,3.328,N
FALSE,FALSE,FALSE,F,White,Out of State,20,Unknown,Education,Pre-Secondary Education Histor,2.94,N
TRUE,TRUE,TRUE,F,White,Out of State,18,Unknown,Music,Music Performance,4.192,Y
TRUE,TRUE,TRUE,F,White,Chicago North,19,Unknown,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.088,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,20-23,Education,Elementary Education,3.288,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far South,18,16-19,Commerce,Business Administration,2.67,N
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban West,18,24-27,Commerce,Business Administration,4.353,Y
TRUE,TRUE,TRUE,F,Hispanic,Suburban Northwest,18,28-32,Liberal Arts & Social Sciences,Sociology,4.593,Y
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,20-23,Science and Health,Health Sciences,3.46,Y
TRUE,TRUE,TRUE,F,White,Out of State,18,33-36,Commerce,Marketing,3.841,Y
TRUE,TRUE,TRUE,F,Not Applicable,Out of State,18,24-27,Liberal Arts & Social Sciences,Political Science,3.851,N
FALSE,FALSE,FALSE,F,White,Out of State,18,28-32,Theatre,Theatre Arts,4.142,N
TRUE,FALSE,FALSE,F,Hispanic,Suburban South,18,28-32,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.907,N
TRUE,FALSE,FALSE,F,White,Suburban West,18,20-23,Commerce,Accountancy,3.42,Y
TRUE,TRUE,TRUE,F,White,Out of State,18,28-32,Theatre,Acting,3.8,Y
FALSE,FALSE,FALSE,F,Not Applicable,Out of State,18,28-32,Theatre,Acting,3.635,N
TRUE,TRUE,TRUE,F,International,Suburban North,19,24-27,Commerce,Marketing,3.129,Y
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,28-32,Science and Health,Biological Sciences,3.5,N
FALSE,FALSE,FALSE,F,Hispanic,Out of State,18,20-23,Music,Performing Arts Mgmt,,N
TRUE,FALSE,FALSE,F,White,Suburban Southwest,19,28-32,Communication,UGRD Undeclared Communication,3.921,Y
FALSE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban West,19,16-19,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.383,Y
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,28-32,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.377,Y
TRUE,TRUE,TRUE,F,White,Out of State,17,24-27,Communication,Public Relations/Advertisin,3.725,Y
TRUE,TRUE,TRUE,F,Multiracial,Out of State,18,24-27,Commerce,Marketing,3.334,N
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban North,18,24-27,Science and Health,Biological Sciences,3.7,Y
TRUE,TRUE,TRUE,F,White,Suburban Northwest,19,24-27,Computer Science,Digital Cinema,3.29,Y
TRUE,TRUE,FALSE,F,Hispanic,Chicago South,18,24-27,Commerce,UGRD Undeclared Business,3.34,Y
TRUE,FALSE,FALSE,F,White,Other Illinois,18,28-32,Communication,Journalism,4.567,Y
TRUE,FALSE,FALSE,F,White,Chicago South,18,24-27,Communication,Communication and Media,4.017,Y
FALSE,FALSE,FALSE,F,Black,Chicago South,18,16-19,Commerce,Business Administration,2.569,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,28-32,Commerce,Management Info Sys,3.84,Y
TRUE,TRUE,TRUE,F,White,Suburban Northwest,18,24-27,Science and Health,Psychology,3.63,Y
TRUE,TRUE,TRUE,F,Not Applicable,Suburban Northwest,19,20-23,Commerce,Accountancy,3.748,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,28-32,Science and Health,Psychology,,Y
FALSE,FALSE,FALSE,F,Hispanic,Suburban Southwest,18,20-23,Education,Pre-Secondary Ed Visual Art,,N
TRUE,FALSE,FALSE,F,White,Northwest Indiana,18,33-36,Science and Health,Psychology,4.402,Y
FALSE,FALSE,FALSE,F,Hispanic,Out of State,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.176,Y
TRUE,FALSE,FALSE,F,Multiracial,Suburban Northwest,18,20-23,Computer Science,Computer Game Development,3.22,Y
TRUE,FALSE,FALSE,F,Black,Out of State,18,20-23,Commerce,Business Administration,3.69,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Out of State,18,28-32,Science and Health,Environmental Science,4.166,Y
TRUE,FALSE,FALSE,F,White,Suburban North,18,28-32,Commerce,UGRD Undeclared Business,4.548,N
FALSE,FALSE,FALSE,F,Not Applicable,Suburban South,19,Unknown,Commerce,UGRD Undeclared Business,,
TRUE,FALSE,FALSE,F,International,International,20,Unknown,Commerce,Finance,3.426,Y
TRUE,TRUE,TRUE,F,White,Out of State,19,Unknown,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.317,Y
TRUE,FALSE,FALSE,F,Hispanic,Northwest Indiana,18,28-32,Liberal Arts & Social Sciences,Political Science,4.1,Y
FALSE,FALSE,FALSE,F,Hispanic,Suburban South,19,Unknown,Science and Health,UGRD Undeclared CSH,2.72,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,18,16-19,Science and Health,Health Sciences,2.551,Y
TRUE,FALSE,FALSE,F,White,Suburban North,19,28-32,Commerce,Management,3.294,Y
TRUE,TRUE,TRUE,F,White,Out of State,19,Unknown,Communication,Journalism,3.837,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,19,20-23,Communication,Journalism,2.883,Y
FALSE,FALSE,FALSE,F,White,Suburban West,19,20-23,Education,Pre-Secondary Education Chemis,0,Y
TRUE,FALSE,FALSE,F,White,Suburban North,19,28-32,Commerce,Management,3.54,Y
TRUE,FALSE,FALSE,F,White,Suburban North,18,24-27,Computer Science,Network Technologies,2.864,N
TRUE,FALSE,FALSE,F,Black,Suburban West,18,16-19,Computer Science,Computer Science,3.523,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,20-23,Computer Science,UGRD Undeclared CDM,3.928,Y
TRUE,TRUE,TRUE,F,Asian/Pacific Islander,Suburban North,18,24-27,Commerce,Business Administration,5.459,Y
FALSE,FALSE,FALSE,F,Asian/Pacific Islander,Chicago Far North,19,0-15,Science and Health,Biological Sciences,2.673,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,28-32,Music,Music Education,3.845,Y
TRUE,TRUE,TRUE,F,White,Out of State,19,28-32,Music,Performing Arts Mgmt,2.881,Y
TRUE,FALSE,FALSE,F,White,Out of State,19,Unknown,Liberal Arts & Social Sciences,Political Science,3.346,N
TRUE,TRUE,TRUE,F,White,Out of State,19,33-36,Liberal Arts & Social Sciences,Public Policy,3.629,Y
TRUE,FALSE,FALSE,F,Hispanic,Out of State,18,Unknown,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.856,N
TRUE,FALSE,FALSE,F,Black,Out of State,18,Unknown,Science and Health,Health Sciences,3.73,Y
TRUE,TRUE,TRUE,F,White,Out of State,18,28-32,Science and Health,Biological Sciences,3.899,Y
TRUE,FALSE,FALSE,F,White,Suburban North,18,24-27,Education,Pre-Secondary Education Histor,3.8,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban West,18,20-23,Science and Health,UGRD Undeclared CSH,3.235,Y
TRUE,TRUE,TRUE,F,Hispanic,Chicago North,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.625,Y
TRUE,TRUE,TRUE,F,White,Suburban West,18,28-32,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.331,Y
TRUE,TRUE,TRUE,F,White,Out of State,18,24-27,Commerce,Accountancy,3.619,N
TRUE,FALSE,FALSE,F,White,Out of State,17,28-32,Communication,Communication Studies,3.872,Y
TRUE,TRUE,TRUE,F,White,Out of State,18,28-32,Communication,Journalism,4.09,Y
TRUE,FALSE,FALSE,F,White,Out of State,23,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.14,Y
TRUE,FALSE,FALSE,F,White,Other Illinois,19,20-23,Science and Health,Biological Sciences,4.285,Y
TRUE,FALSE,FALSE,F,White,Suburban West,19,28-32,Commerce,Accountancy,4.352,Y
TRUE,FALSE,FALSE,F,White,Chicago Far South,18,20-23,Science and Health,UGRD Undeclared CSH,2.78,Y
TRUE,TRUE,TRUE,F,Asian/Pacific Islander,Suburban North,18,24-27,Commerce,Business Administration,3.705,N
TRUE,FALSE,FALSE,F,White,Other Illinois,18,28-32,Science and Health,Biological Sciences,4.271,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban North,18,24-27,Commerce,UGRD Undeclared Business,3.71,Y
FALSE,FALSE,FALSE,F,Hispanic,Suburban West,19,Unknown,Commerce,Business Administration,2.567,Y
TRUE,TRUE,FALSE,F,Hispanic,Chicago South,18,20-23,Computer Science,Computer Game Development,3.862,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Communication,Media and Cinema Studies,3.622,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Commerce,Finance,4.48,Y
TRUE,FALSE,FALSE,F,Multiracial,Out of State,17,20-23,Commerce,Real Estate,3.481,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,16-19,Education,Pre-Early Childhood Education,2.69,N
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Out of State,18,24-27,Science and Health,Health Sciences,0,Y
TRUE,TRUE,TRUE,F,White,Suburban Southwest,19,24-27,Liberal Arts & Social Sciences,Peace Justice Conflict St,3.125,N
FALSE,FALSE,FALSE,F,White,Out of State,18,20-23,Music,Music Performance,3.279,N
TRUE,FALSE,FALSE,F,White,Suburban West,18,28-32,Commerce,Business Administration,4.2,Y
TRUE,TRUE,TRUE,F,Multiracial,Chicago Far North,18,16-19,Computer Science,Animation,4.03,Y
